Examens,Sujet,Nom,Prénom,Matiere,Lycée,Surveillant,Date
187,Examen Ier Trimestre;1,Davidson,Monique,Anglais;4,La Perverie;4,Daniel Bertin-Martin;5,1975-08-31 04:15:53
188,Examen 3eme Trimestre;3,Miller,Adam,Francais;5,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,2008-09-29 16:55:18
189,Examen 3eme Trimestre;3,Sharp,Stephanie,Math;1,La Perverie;4,Marcel Didier;10,1986-12-23 04:02:33
190,Examen 3eme Trimestre;3,Strickland,Amanda,Allemand;3,Loquidy;1,Raymond-Philippe Bernard;4,1970-05-09 06:41:56
191,Examen 3eme Trimestre;3,Brown,Marcus,Allemand;3,Notre Dame de toutes Aides;3,Pauline Boulay	;3,2020-08-28 14:04:49
192,Examen 2eme Trimestre;2,Johnson,Bridget,Allemand;3,La Perverie;4,Pauline Boulay	;3,2009-05-28 21:32:31
193,Examen Ier Trimestre;1,Jones,Rachel,Math;1,Loquidy;1,Emmanuel Fernandes-Lopez	;	2	,1975-05-28 15:11:49
194,Examen 3eme Trimestre;3,Hill,Amy,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Augustin Gauthier-Allard;9,1999-11-14 05:26:17
195,Examen Ier Trimestre;1,Hunt,Elizabeth,Francais;5,La Perverie;4,Marguerite Michel;8,2020-06-27 23:20:59
196,Examen Ier Trimestre;1,Frank,Shawn,Math;1,Notre Dame de toutes Aides;3,Daniel Bertin-Martin;5,2024-01-06 18:06:45
197,Examen Ier Trimestre;1,Beard,Kimberly,Francais;5,Chavagne;2,Marguerite Michel;8,1990-06-02 05:59:03
198,Examen Ier Trimestre;1,Turner,Crystal,Hist-Géo;2,Loquidy;1,Théophile-Michel Renault;12,2014-07-10 12:50:32
199,Examen 2eme Trimestre;2,Tran,Jeremy,Francais;5,Notre Dame de toutes Aides;3,Eleonore Leroy Le Giraud;14,1981-07-09 02:01:36
200,Examen 3eme Trimestre;3,Edwards,Robert,Math;1,Chavagne;2,Marguerite Michel;8,2003-03-17 09:09:53
201,Examen 2eme Trimestre;2,Russell,John,Allemand;3,Notre Dame de toutes Aides;3,Juliette Renault;13,2013-06-14 10:04:35
202,Examen Ier Trimestre;1,Rogers,Francis,Hist-Géo;2,Notre Dame de toutes Aides;3,Emmanuel Fernandes-Lopez	;	2	,1990-08-31 05:13:37
203,Examen 2eme Trimestre;2,Gillespie,Daniel,Anglais;4,Loquidy;1,Marguerite Michel;8,1996-09-13 21:53:58
204,Examen 3eme Trimestre;3,Thompson,Katherine,Anglais;4,Loquidy;1,Daniel Bertin-Martin;5,1981-06-09 18:46:00
205,Examen Ier Trimestre;1,Mendoza,Lisa,Math;1,Notre Dame de toutes Aides;3,Pauline Boulay	;3,1974-12-31 22:54:25
206,Examen 3eme Trimestre;3,Berry,Margaret,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,2007-08-12 05:26:33
207,Examen 2eme Trimestre;2,Marsh,Robert,Allemand;3,Chavagne;2,Corinne du Gaillard;1,1992-05-16 15:01:04
208,Examen 2eme Trimestre;2,Hamilton,Cheryl,Francais;5,Notre Dame de toutes Aides;3,Daniel Bertin-Martin;5,2024-11-06 00:11:22
209,Examen 3eme Trimestre;3,Howard,Julia,Allemand;3,La Perverie;4,Raymond-Philippe Bernard;4,1984-09-25 03:38:19
210,Examen Ier Trimestre;1,Carr,Gregory,Francais;5,Chavagne;2,Augustin Gauthier-Allard;9,1991-03-18 06:07:15
211,Examen 2eme Trimestre;2,Wiggins,Maria,Francais;5,Chavagne;2,Corinne du Gaillard;1,2022-11-19 01:06:10
212,Examen 2eme Trimestre;2,Walters,Kaitlyn,Anglais;4,Chavagne;2,Thibaut Boulay;6,2016-01-23 15:58:16
213,Examen 3eme Trimestre;3,White,Jennifer,Math;1,Loquidy;1,Sophie Parent;11,2005-09-08 22:25:19
214,Examen Ier Trimestre;1,Odonnell,Jennifer,Hist-Géo;2,Notre Dame de toutes Aides;3,Pauline Boulay	;3,2018-08-29 20:05:56
215,Examen 3eme Trimestre;3,Schmidt,Sarah,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,2013-03-01 02:06:56
216,Examen 3eme Trimestre;3,Conley,William,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Sophie Parent;11,1973-05-25 13:38:07
217,Examen 2eme Trimestre;2,Hicks,Logan,Anglais;4,Notre Dame de toutes Aides;3,Marcel Didier;10,2008-01-21 10:18:27
218,Examen Ier Trimestre;1,Turner,Morgan,Math;1,Chavagne;2,Pauline Boulay	;3,2012-01-18 17:39:21
219,Examen 3eme Trimestre;3,Washington,Christopher,Hist-Géo;2,Loquidy;1,Eleonore Leroy Le Giraud;14,1998-08-22 11:03:56
220,Examen 3eme Trimestre;3,Stokes,Mark,Math;1,Chavagne;2,Thibaut Boulay;6,1999-07-11 00:50:54
221,Examen 3eme Trimestre;3,Goodman,Sally,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,1979-01-29 16:41:25
222,Examen Ier Trimestre;1,Chandler,Shaun,Anglais;4,Loquidy;1,Eleonore Leroy Le Giraud;14,1974-06-15 03:44:37
223,Examen 2eme Trimestre;2,Wheeler,Ralph,Math;1,Chavagne;2,Pauline Boulay	;3,1990-09-15 05:54:17
224,Examen 3eme Trimestre;3,Arnold,Shannon,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Corinne du Gaillard;1,1970-03-20 20:20:29
225,Examen 2eme Trimestre;2,Cole,Christian,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,1998-02-18 10:45:29
226,Examen Ier Trimestre;1,Davis,Shawn,Hist-Géo;2,Notre Dame de toutes Aides;3,Marguerite Michel;8,2002-06-24 09:27:54
227,Examen 2eme Trimestre;2,Johnson,Jose,Allemand;3,La Perverie;4,Daniel Bertin-Martin;5,1987-08-09 23:03:37
228,Examen Ier Trimestre;1,Jackson,Janice,Francais;5,Notre Dame de toutes Aides;3,Emmanuel Fernandes-Lopez	;	2	,1991-04-23 16:48:03
229,Examen 3eme Trimestre;3,Allen,Michele,Hist-Géo;2,Loquidy;1,Corinne du Gaillard;1,2003-01-19 16:08:54
230,Examen Ier Trimestre;1,Brown,Sarah,Francais;5,Loquidy;1,Thibaut Boulay;6,1992-04-02 01:41:37
231,Examen 2eme Trimestre;2,Young,Heather,Francais;5,La Perverie;4,Marcel Didier;10,1993-10-31 02:46:40
232,Examen Ier Trimestre;1,Lawrence,Nathan,Allemand;3,Loquidy;1,Juliette Renault;13,1999-02-16 15:08:33
233,Examen 2eme Trimestre;2,Dennis,Amanda,Allemand;3,Notre Dame de toutes Aides;3,Juliette Renault;13,1971-06-03 23:49:24
234,Examen 2eme Trimestre;2,Stanley,Shawn,Math;1,Chavagne;2,Juliette Renault;13,1988-09-18 12:59:39
235,Examen 2eme Trimestre;2,Stewart,April,Math;1,Notre Dame de toutes Aides;3,Emmanuel Fernandes-Lopez	;	2	,1981-09-01 14:11:55
236,Examen 3eme Trimestre;3,Rogers,James,Hist-Géo;2,Chavagne;2,Emmanuel Fernandes-Lopez	;	2	,2023-07-18 20:49:00
237,Examen 2eme Trimestre;2,Mcdonald,Robert,Math;1,Chavagne;2,Thibaut Boulay;6,1973-04-13 17:15:52
238,Examen 3eme Trimestre;3,Cook,Kim,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Augustin Gauthier-Allard;9,1972-01-16 08:38:17
239,Examen 2eme Trimestre;2,Murray,Heather,Math;1,Chavagne;2,Jacqueline de Bruneau;7,1980-04-28 16:50:17
240,Examen 2eme Trimestre;2,Wood,Joshua,Francais;5,Chavagne;2,Marcel Didier;10,1988-03-25 18:23:00
241,Examen 2eme Trimestre;2,White,Toni,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Emmanuel Fernandes-Lopez	;	2	,2014-03-06 21:49:19
242,Examen Ier Trimestre;1,Brown,Emily,Francais;5,Chavagne;2,Théophile-Michel Renault;12,2019-12-11 08:48:10
243,Examen Ier Trimestre;1,James,Helen,Francais;5,La Perverie;4,Marcel Didier;10,1991-09-20 01:52:40
244,Examen Ier Trimestre;1,Parker,Courtney,Anglais;4,Loquidy;1,Eleonore Leroy Le Giraud;14,2013-12-15 06:22:25
245,Examen 2eme Trimestre;2,Alvarez,Jennifer,Allemand;3,Loquidy;1,Pauline Boulay	;3,2022-04-06 16:54:13
246,Examen 3eme Trimestre;3,Joseph,Brian,Allemand;3,Loquidy;1,Juliette Renault;13,2007-04-23 20:15:03
247,Examen Ier Trimestre;1,Evans,Katherine,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Corinne du Gaillard;1,1996-10-10 23:39:54
248,Examen Ier Trimestre;1,Wilkins,Lance,Francais;5,Loquidy;1,Pauline Boulay	;3,1978-03-03 17:08:30
249,Examen 3eme Trimestre;3,Sellers,Judith,Allemand;3,Notre Dame de toutes Aides;3,Théophile-Michel Renault;12,2003-11-23 01:02:49
250,Examen Ier Trimestre;1,Kidd,William,Anglais;4,Loquidy;1,Juliette Renault;13,1993-02-22 13:30:52
251,Examen 3eme Trimestre;3,Baker,Lacey,Francais;5,Loquidy;1,Thibaut Boulay;6,2013-12-17 06:23:53
252,Examen Ier Trimestre;1,Rogers,Stephanie,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,1989-12-16 00:15:19
253,Examen Ier Trimestre;1,Conner,Denise,Anglais;4,Chavagne;2,Théophile-Michel Renault;12,1993-01-10 11:26:57
254,Examen 2eme Trimestre;2,Mcgee,Raymond,Anglais;4,La Perverie;4,Marguerite Michel;8,1978-11-26 10:49:17
255,Examen Ier Trimestre;1,Moran,David,Math;1,Notre Dame de toutes Aides;3,Thibaut Boulay;6,1974-11-08 19:17:54
256,Examen 3eme Trimestre;3,Jefferson,Christopher,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Sophie Parent;11,2019-04-18 22:30:01
257,Examen Ier Trimestre;1,Novak,Nicole,Anglais;4,La Perverie;4,Thibaut Boulay;6,1979-12-28 09:31:37
258,Examen 3eme Trimestre;3,Erickson,Sharon,Francais;5,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,1989-05-29 21:31:57
259,Examen 2eme Trimestre;2,Johnson,Christine,Hist-Géo;2,La Perverie;4,Daniel Bertin-Martin;5,2007-07-29 20:16:03
260,Examen Ier Trimestre;1,Navarro,Susan,Anglais;4,La Perverie;4,Augustin Gauthier-Allard;9,1995-08-21 16:45:18
261,Examen 3eme Trimestre;3,Morrow,Amanda,Hist-Géo;2,Chavagne;2,Théophile-Michel Renault;12,1975-06-30 19:08:59
262,Examen 2eme Trimestre;2,Holt,Sarah,Allemand;3,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,1984-05-03 15:04:35
263,Examen 3eme Trimestre;3,Kim,Shawn,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Eleonore Leroy Le Giraud;14,2011-01-14 13:41:51
264,Examen 3eme Trimestre;3,Jones,Jacqueline,Allemand;3,Chavagne;2,Pauline Boulay	;3,2008-01-27 06:44:12
265,Examen 2eme Trimestre;2,Cooper,Megan,Anglais;4,Chavagne;2,Corinne du Gaillard;1,2006-10-31 09:49:41
266,Examen Ier Trimestre;1,Garner,Erin,Francais;5,Chavagne;2,Emmanuel Fernandes-Lopez	;	2	,1989-04-05 01:44:40
267,Examen 3eme Trimestre;3,Miller,Sharon,Allemand;3,Notre Dame de toutes Aides;3,Juliette Renault;13,2008-08-18 11:40:11
268,Examen Ier Trimestre;1,Carter,Sara,Anglais;4,Chavagne;2,Marcel Didier;10,1990-05-29 21:03:51
269,Examen 3eme Trimestre;3,Hines,Mario,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Emmanuel Fernandes-Lopez	;	2	,2019-12-15 15:25:42
270,Examen Ier Trimestre;1,Webster,Emily,Allemand;3,Notre Dame de toutes Aides;3,Juliette Renault;13,2020-05-09 17:04:39
271,Examen 3eme Trimestre;3,Patrick,Robert,Math;1,Loquidy;1,Juliette Renault;13,1992-03-15 21:09:49
272,Examen Ier Trimestre;1,Schwartz,Carrie,Math;1,La Perverie;4,Juliette Renault;13,1994-05-25 04:49:12
273,Examen 3eme Trimestre;3,Myers,Erik,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Eleonore Leroy Le Giraud;14,2023-06-09 12:00:11
274,Examen 2eme Trimestre;2,Williams,Julie,Francais;5,Loquidy;1,Augustin Gauthier-Allard;9,1980-02-28 10:12:22
275,Examen 2eme Trimestre;2,Miller,Nathan,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Thibaut Boulay;6,1994-03-06 05:07:15
276,Examen 3eme Trimestre;3,Murphy,Daniel,Allemand;3,La Perverie;4,Augustin Gauthier-Allard;9,1993-02-11 15:59:16
277,Examen Ier Trimestre;1,Thompson,Timothy,Hist-Géo;2,Loquidy;1,Daniel Bertin-Martin;5,2013-11-16 02:31:22
278,Examen Ier Trimestre;1,Santos,David,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,1984-12-11 22:06:00
279,Examen 3eme Trimestre;3,Mccullough,Kenneth,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,2005-11-06 21:58:05
280,Examen Ier Trimestre;1,Orozco,Joseph,Anglais;4,Loquidy;1,Daniel Bertin-Martin;5,1976-07-08 15:28:35
281,Examen 3eme Trimestre;3,Kennedy,Michaela,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,1998-05-27 01:52:50
282,Examen 2eme Trimestre;2,Griffith,Darlene,Hist-Géo;2,La Perverie;4,Raymond-Philippe Bernard;4,1997-03-21 13:29:25
283,Examen 3eme Trimestre;3,Lee,Lisa,Math;1,Chavagne;2,Jacqueline de Bruneau;7,2000-04-13 06:58:40
284,Examen 2eme Trimestre;2,Thompson,Brittany,Anglais;4,La Perverie;4,Corinne du Gaillard;1,2013-07-31 08:08:03
285,Examen 2eme Trimestre;2,Kramer,Kevin,Allemand;3,Chavagne;2,Pauline Boulay	;3,2025-04-12 20:42:46
286,Examen 3eme Trimestre;3,Phillips,Jennifer,Allemand;3,Loquidy;1,Raymond-Philippe Bernard;4,1982-05-04 13:57:03
287,Examen 3eme Trimestre;3,Bender,Charles,Allemand;3,La Perverie;4,Théophile-Michel Renault;12,1992-01-07 01:15:32
288,Examen 2eme Trimestre;2,Morales,Kim,Francais;5,Loquidy;1,Pauline Boulay	;3,1986-06-18 20:52:44
289,Examen 2eme Trimestre;2,Guzman,Kenneth,Anglais;4,La Perverie;4,Emmanuel Fernandes-Lopez	;	2	,2017-08-12 11:55:43
290,Examen 3eme Trimestre;3,Graham,Jeffrey,Allemand;3,Chavagne;2,Emmanuel Fernandes-Lopez	;	2	,1972-09-06 12:40:10
291,Examen 3eme Trimestre;3,Willis,Jeremy,Francais;5,Loquidy;1,Pauline Boulay	;3,1989-08-22 18:49:22
292,Examen Ier Trimestre;1,Chambers,Laura,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,1993-05-05 05:46:50
293,Examen 3eme Trimestre;3,Bailey,Robert,Francais;5,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,1979-10-24 18:46:22
294,Examen 3eme Trimestre;3,Moreno,Karen,Allemand;3,Loquidy;1,Juliette Renault;13,1996-08-20 07:59:38
295,Examen Ier Trimestre;1,Shaw,Robin,Math;1,Chavagne;2,Eleonore Leroy Le Giraud;14,1983-02-18 11:35:00
296,Examen 3eme Trimestre;3,Weaver,Melinda,Francais;5,La Perverie;4,Augustin Gauthier-Allard;9,2003-02-05 22:38:12
297,Examen 2eme Trimestre;2,Phillips,Nathan,Hist-Géo;2,Chavagne;2,Sophie Parent;11,2016-06-10 23:25:04
298,Examen 3eme Trimestre;3,Ray,Sara,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,1976-05-25 19:36:46
299,Examen Ier Trimestre;1,Smith,Peter,Math;1,Notre Dame de toutes Aides;3,Juliette Renault;13,1994-02-13 17:35:13
300,Examen 2eme Trimestre;2,Wilson,Mark,Allemand;3,Loquidy;1,Emmanuel Fernandes-Lopez	;	2	,2010-10-12 04:36:22
301,Examen 2eme Trimestre;2,Sandoval,Matthew,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Emmanuel Fernandes-Lopez	;	2	,2014-05-09 19:35:48
302,Examen Ier Trimestre;1,Ward,Justin,Math;1,Loquidy;1,Marguerite Michel;8,1992-09-14 10:42:52
303,Examen 3eme Trimestre;3,Bennett,Robert,Hist-Géo;2,Loquidy;1,Marcel Didier;10,1978-06-12 14:52:05
304,Examen Ier Trimestre;1,Leblanc,Jeremy,Francais;5,Loquidy;1,Raymond-Philippe Bernard;4,2014-11-27 05:03:57
305,Examen Ier Trimestre;1,Miller,Cory,Francais;5,Notre Dame de toutes Aides;3,Emmanuel Fernandes-Lopez	;	2	,1989-04-20 20:51:04
306,Examen Ier Trimestre;1,Dorsey,Jeffrey,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,1975-08-26 04:41:12
307,Examen 2eme Trimestre;2,Roman,Tiffany,Allemand;3,Notre Dame de toutes Aides;3,Daniel Bertin-Martin;5,1995-02-26 20:46:21
308,Examen 2eme Trimestre;2,Walsh,Christopher,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,1992-08-11 19:20:38
309,Examen 3eme Trimestre;3,Hughes,Travis,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Augustin Gauthier-Allard;9,1971-07-15 19:11:02
310,Examen 2eme Trimestre;2,Smith,Wesley,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Augustin Gauthier-Allard;9,1971-05-10 08:34:49
311,Examen 3eme Trimestre;3,Proctor,Sara,Math;1,Chavagne;2,Juliette Renault;13,2004-10-13 04:21:49
312,Examen 2eme Trimestre;2,Harper,Kelly,Hist-Géo;2,La Perverie;4,Corinne du Gaillard;1,2002-02-18 16:39:09
313,Examen 3eme Trimestre;3,Carter,Shelley,Hist-Géo;2,Loquidy;1,Juliette Renault;13,2014-08-28 20:36:45
314,Examen Ier Trimestre;1,Smith,Susan,Allemand;3,Notre Dame de toutes Aides;3,Raymond-Philippe Bernard;4,2018-02-01 06:56:12
315,Examen 2eme Trimestre;2,Allen,Timothy,Anglais;4,Loquidy;1,Pauline Boulay	;3,1970-03-03 09:34:19
316,Examen Ier Trimestre;1,Rodriguez,Kristine,Math;1,Chavagne;2,Pauline Boulay	;3,1996-01-12 09:53:30
317,Examen 2eme Trimestre;2,Morrison,Maria,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Thibaut Boulay;6,1982-04-21 11:09:25
318,Examen 2eme Trimestre;2,Haney,Kevin,Francais;5,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,1988-01-04 14:35:18
319,Examen 3eme Trimestre;3,Wright,Carol,Francais;5,Loquidy;1,Thibaut Boulay;6,2007-09-06 06:47:46
320,Examen 2eme Trimestre;2,Johnson,Dawn,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,1999-02-14 20:21:35
321,Examen Ier Trimestre;1,Carr,Amanda,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Raymond-Philippe Bernard;4,1975-07-16 00:39:52
322,Examen Ier Trimestre;1,Allen,Christopher,Francais;5,Notre Dame de toutes Aides;3,Marcel Didier;10,2023-06-15 18:39:37
323,Examen Ier Trimestre;1,Medina,Ralph,Francais;5,Chavagne;2,Thibaut Boulay;6,1983-11-10 17:08:51
324,Examen 3eme Trimestre;3,Harper,Brian,Francais;5,Loquidy;1,Marcel Didier;10,2002-02-07 16:51:30
325,Examen 3eme Trimestre;3,Herrera,Steven,Allemand;3,Loquidy;1,Eleonore Leroy Le Giraud;14,1980-04-30 04:14:34
326,Examen Ier Trimestre;1,Ball,Alexandra,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,1978-04-12 12:18:00
327,Examen 3eme Trimestre;3,Everett,Daniel,Francais;5,Chavagne;2,Jacqueline de Bruneau;7,1988-01-26 22:17:12
328,Examen Ier Trimestre;1,Travis,Dillon,Math;1,Loquidy;1,Augustin Gauthier-Allard;9,2002-04-01 23:00:03
329,Examen 2eme Trimestre;2,Schwartz,Bonnie,Math;1,Notre Dame de toutes Aides;3,Pauline Boulay	;3,2013-07-24 17:04:49
330,Examen 2eme Trimestre;2,Mitchell,Brittney,Anglais;4,La Perverie;4,Augustin Gauthier-Allard;9,1989-01-22 03:35:50
331,Examen 2eme Trimestre;2,Dudley,Laura,Francais;5,Chavagne;2,Corinne du Gaillard;1,2012-03-10 11:54:05
332,Examen 3eme Trimestre;3,White,Louis,Allemand;3,La Perverie;4,Jacqueline de Bruneau;7,1989-08-25 11:49:11
333,Examen Ier Trimestre;1,Hull,Dale,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,1983-04-28 03:55:31
334,Examen 2eme Trimestre;2,Castillo,Joel,Anglais;4,Loquidy;1,Emmanuel Fernandes-Lopez	;	2	,2008-01-11 23:15:04
335,Examen Ier Trimestre;1,Welch,Gary,Francais;5,Loquidy;1,Juliette Renault;13,2007-02-18 01:28:32
336,Examen 2eme Trimestre;2,Mcbride,Colin,Allemand;3,Chavagne;2,Juliette Renault;13,1972-03-27 01:32:03
337,Examen Ier Trimestre;1,Hunt,Mitchell,Anglais;4,Notre Dame de toutes Aides;3,Emmanuel Fernandes-Lopez	;	2	,1973-03-07 15:37:41
338,Examen 3eme Trimestre;3,Smith,Christopher,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Eleonore Leroy Le Giraud;14,2024-09-05 10:41:14
339,Examen 3eme Trimestre;3,Miller,Rebecca,Francais;5,Loquidy;1,Sophie Parent;11,1993-07-23 07:04:02
340,Examen 2eme Trimestre;2,Madden,Anthony,Allemand;3,Loquidy;1,Augustin Gauthier-Allard;9,2009-03-10 03:28:55
341,Examen Ier Trimestre;1,Love,Brooke,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Eleonore Leroy Le Giraud;14,2024-12-10 15:14:06
342,Examen Ier Trimestre;1,Fields,Daniel,Math;1,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,1972-12-26 21:41:50
343,Examen Ier Trimestre;1,Cisneros,Marc,Anglais;4,Notre Dame de toutes Aides;3,Eleonore Leroy Le Giraud;14,2002-09-26 03:19:34
344,Examen 2eme Trimestre;2,Marshall,Edgar,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marguerite Michel;8,2018-02-08 03:25:07
345,Examen Ier Trimestre;1,Medina,Jessica,Anglais;4,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,1984-09-24 03:01:14
346,Examen Ier Trimestre;1,Snyder,Ronald,Francais;5,Loquidy;1,Corinne du Gaillard;1,2013-02-06 18:24:20
347,Examen 3eme Trimestre;3,Robbins,Robert,Allemand;3,Notre Dame de toutes Aides;3,Marcel Didier;10,2015-06-18 15:26:00
348,Examen Ier Trimestre;1,Lee,Darius,Anglais;4,La Perverie;4,Sophie Parent;11,1983-01-29 13:51:48
349,Examen 2eme Trimestre;2,Stafford,Heather,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Thibaut Boulay;6,1970-04-30 10:17:59
350,Examen Ier Trimestre;1,Lopez,James,Anglais;4,La Perverie;4,Théophile-Michel Renault;12,1987-10-12 20:27:53
351,Examen Ier Trimestre;1,Allen,Aaron,Anglais;4,Chavagne;2,Théophile-Michel Renault;12,2011-03-05 12:34:16
352,Examen 3eme Trimestre;3,Clay,Betty,Anglais;4,Chavagne;2,Augustin Gauthier-Allard;9,2011-10-08 13:13:21
353,Examen 2eme Trimestre;2,Howell,Matthew,Francais;5,Chavagne;2,Sophie Parent;11,1981-06-20 00:50:57
354,Examen 3eme Trimestre;3,Moore,Andrew,Allemand;3,Chavagne;2,Thibaut Boulay;6,2015-02-20 18:20:28
355,Examen 3eme Trimestre;3,Adkins,Alexandria,Math;1,Notre Dame de toutes Aides;3,Jacqueline de Bruneau;7,1991-12-20 20:11:19
356,Examen 2eme Trimestre;2,Hamilton,Sheila,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,1984-05-14 04:32:17
357,Examen 3eme Trimestre;3,Montgomery,Steven,Allemand;3,La Perverie;4,Corinne du Gaillard;1,2019-09-02 07:20:40
358,Examen Ier Trimestre;1,Figueroa,Paul,Math;1,La Perverie;4,Raymond-Philippe Bernard;4,2019-09-17 07:45:57
359,Examen 2eme Trimestre;2,Barrett,Loretta,Francais;5,Loquidy;1,Juliette Renault;13,2000-08-16 12:12:48
360,Examen Ier Trimestre;1,Anderson,Wendy,Hist-Géo;2,Chavagne;2,Emmanuel Fernandes-Lopez	;	2	,2024-03-10 05:21:20
361,Examen Ier Trimestre;1,Martin,James,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,1989-11-27 00:31:15
362,Examen 2eme Trimestre;2,Clark,Jessica,Francais;5,Loquidy;1,Théophile-Michel Renault;12,1975-06-05 12:43:50
363,Examen Ier Trimestre;1,Petersen,Gabriela,Allemand;3,La Perverie;4,Emmanuel Fernandes-Lopez	;	2	,1984-08-04 21:05:46
364,Examen 3eme Trimestre;3,Johnston,Kathleen,Anglais;4,Notre Dame de toutes Aides;3,Marguerite Michel;8,2001-05-18 02:53:40
365,Examen 2eme Trimestre;2,Rice,Raymond,Math;1,Chavagne;2,Raymond-Philippe Bernard;4,1988-10-28 21:01:39
366,Examen Ier Trimestre;1,Russell,Allison,Allemand;3,Notre Dame de toutes Aides;3,Eleonore Leroy Le Giraud;14,1970-09-21 13:49:01
367,Examen Ier Trimestre;1,Medina,Michael,Francais;5,La Perverie;4,Thibaut Boulay;6,2017-09-21 05:03:43
368,Examen 2eme Trimestre;2,Evans,Helen,Anglais;4,Loquidy;1,Emmanuel Fernandes-Lopez	;	2	,2009-07-22 11:57:41
369,Examen Ier Trimestre;1,Kelly,James,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Raymond-Philippe Bernard;4,2004-08-30 03:36:28
370,Examen 2eme Trimestre;2,Cruz,Elizabeth,Hist-Géo;2,La Perverie;4,Jacqueline de Bruneau;7,2000-01-06 20:53:39
371,Examen 3eme Trimestre;3,Roman,Erika,Allemand;3,Chavagne;2,Jacqueline de Bruneau;7,1985-12-28 11:06:10
372,Examen 2eme Trimestre;2,Richardson,Benjamin,Anglais;4,Chavagne;2,Corinne du Gaillard;1,1992-12-30 10:07:07
373,Examen Ier Trimestre;1,Manning,Leslie,Math;1,La Perverie;4,Emmanuel Fernandes-Lopez	;	2	,1993-09-16 21:18:13
374,Examen Ier Trimestre;1,Brown,Michael,Hist-Géo;2,Chavagne;2,Augustin Gauthier-Allard;9,1979-08-21 16:22:27
375,Examen 3eme Trimestre;3,Hill,Richard,Anglais;4,Chavagne;2,Raymond-Philippe Bernard;4,2013-08-08 08:11:43
376,Examen 2eme Trimestre;2,Hoover,Angie,Hist-Géo;2,Loquidy;1,Sophie Parent;11,2014-03-11 03:56:05
377,Examen Ier Trimestre;1,Randolph,Krystal,Hist-Géo;2,Notre Dame de toutes Aides;3,Corinne du Gaillard;1,2008-11-05 11:06:56
